Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-06-14,10,17.3,2.2,2.4,5.4,NW,39,14:52:00,13,72,7,NNW,13,1018.3,16.5,56,7,NNW,22,1015.8
2019-06-15,9,15.2,2.6,2.8,0.8,NNW,17,10:34:00,10.9,83,7,NNE,7,1021.5,14.2,67,7,SSW,7,1020.3
2019-06-16,8.6,16.7,0,0.8,5.4,NNE,20,00:33:00,10.4,86,7,NE,7,1023.2,14.3,67,6,WSW,9,1021.5
2019-06-17,6.3,17.9,3.4,1,8.8,N,26,15:45:00,8,91,3,NNE,11,1023.8,16.9,54,1,N,13,1020.3
2019-06-18,8,13.7,0,2.2,0.9,N,37,02:51:00,11,77,7,N,13,1017.3,10,76,7,WSW,15,1019.2
2019-06-19,6.6,11.9,0.8,1,3.1,SSW,24,13:40:00,7.6,78,5,W,7,1026.2,11.2,70,7,SSW,11,1025.9
2019-06-20,6.4,11.3,1.6,0.4,0,SW,22,15:09:00,7.9,95,7,W,2,1026.6,10.1,75,7,SSW,9,1024.8
2019-06-21,6.5,12.6,3,0.2,6.5,SSW,31,14:21:00,7.7,90,5,WSW,7,1029.2,12.2,71,3,SSW,11,1029
2019-06-22,6.8,11.8,0.4,1.4,2.3,WSW,20,13:02:00,7.8,93,7,WNW,2,1031.4,10.8,78,7,SW,6,1029.9
2019-06-23,3.6,9.6,1.2,0.8,9.2,NE,13,04:30:00,5.8,100,1,N,6,1032.3,9,84,2,ESE,7,1031.1
2019-06-24,4.2,16,0,1.4,8.1,N,17,06:35:00,4.5,96,2,NNE,13,1034,15.8,47,1,N,2,1031.5
2019-06-25,3.5,17,0,2.8,8,N,28,13:56:00,5.3,77,6,NNE,11,1034.8,16.9,46,1,NNE,13,1032.6
